,Streambed Embeddedness (%),Prediction,Residual,Residual_Abs,Site ID,Unique ID,Latitude,Longitude,Collection Date,Bankfull Shear Velocity (m/s) (QT),Soil Bulk Density (QT),Avg Watershed Elev (QT),Hydraulic Conductivity (QT),% Evergreen Forest (CBRT),% Crop Land (CBRT),% Deciduous Forest (CBRT),% Hay (CBRT),Impervious Surface (YJ),Annual Runoff (QT),CTI Wetness Index (QT),Atlantic Plain Division,Interior Highlands Division,Interior Plains Division,Intermontane Plateaus Division,Laurentian Upland Division,Pacific Mountain Division,Rocky Mountain Division,text
903,96.0,85.01804632010256,10.981953679897444,10.981953679897444,NRS18_FL_10003,2013270,30.518847,-87.29779,2018-08-14,-1.28810125654524,1.454955499045201,-2.241804884312258,0.8349495794019604,1.839571717525964,0.3412867847120234,0.0,1.180645687269498,2.007891169589498,1.534649579411263,1.454955499045202,True,False,False,False,False,False,False,"Site ID NRS18_FL_10003, Actual: 96%, Prediction: 85%"
901,9.545454545,25.056552848163886,-15.511098303163886,15.511098303163886,NRS18_WA_10013,2012802,46.8552,-122.176476,2018-07-05,2.498074559831728,-1.90153440906804,0.4259623569124915,0.8460898878343918,4.262230425895879,0.0,0.6319135428586788,0.0,-1.25299576824483,2.047768111547766,-1.36016626517846,False,False,False,False,False,True,False,"Site ID NRS18_WA_10013, Actual: 9%, Prediction: 25%"
23,89.27272727,78.85811052482426,10.41461674517575,10.41461674517575,NRS18_IL_10040,2013552,39.06811,-88.60513,2018-09-19,-0.8725022462446052,0.787821285484419,-1.03264728638306,-0.3224149004518849,0.2473137898083153,4.104663754829831,2.23337508124727,1.721641418921967,1.418213416099487,0.05349676486919441,1.587572969859972,False,False,True,False,False,False,False,"Site ID NRS18_IL_10040, Actual: 89%, Prediction: 78%"
231,44.54545455,52.94149558161164,-8.396041031611638,8.396041031611638,NRS18_MD_10003,2013185,39.690166,-76.930244,2018-08-08,0.579999919302271,-0.05219076552946574,-0.6333044321781985,-0.463396586627555,1.043249822876435,3.03588516168902,3.552935730675603,2.111048952773947,0.8744347881239469,0.4604945391031164,-0.4721263176661843,False,False,False,False,False,False,False,"Site ID NRS18_MD_10003, Actual: 44%, Prediction: 52%"
254,65.0,76.58708898254255,-11.587088982542554,11.587088982542554,NRS18_ND_10040,2013965,46.514854,-102.82782,2019-07-02,-1.560564963897661,-0.0378301555328292,0.3750863424934409,0.3251636316684838,0.4609234489705103,3.856080941384025,0.3808970106238515,1.664483680983558,-0.2412591918039083,-1.181881152046636,0.8995377735839831,False,False,True,False,False,False,False,"Site ID NRS18_ND_10040, Actual: 65%, Prediction: 76%"
467,23.09090909,35.16074936504762,-12.069840275047621,12.069840275047621,NRS18_CA_10009,2012639,39.59863,-120.99716,2018-06-18,1.92595252716441,-1.820529158686349,0.6622603696100589,-0.2625154994074528,4.403146345997647,0.0,0.793847561926527,0.0,-0.7080119415898974,1.55181040207722,-0.2787495354556975,False,False,False,False,False,True,False,"Site ID NRS18_CA_10009, Actual: 23%, Prediction: 35%"
70,85.0,77.77852881613137,7.22147118386863,7.22147118386863,NRS18_WI_10039,2012626,43.00195,-88.15254,2018-06-18,-1.166292120293447,1.560564963897648,-0.6984248334438425,-0.9556878380607187,0.528384570943507,2.84174496264731,2.399278917051995,2.359654516481165,1.900938286007835,-0.07833065095875995,1.015025541545802,False,False,True,False,False,False,False,"Site ID NRS18_WI_10039, Actual: 85%, Prediction: 77%"
547,30.90909091,28.454265201931822,2.454825708068178,2.454825708068178,NRS18_PA_10005,2013105,41.48847,-78.13261,2018-08-01,1.69809350917105,0.4692124406254091,0.1531857168681219,-0.18228508754369,1.169430604183871,0.0,3.845116164561472,0.0,-1.34801463683039,0.8725022462446053,-0.2841770348131582,False,False,False,False,False,False,False,"Site ID NRS18_PA_10005, Actual: 30%, Prediction: 28%"
107,76.28571429,53.29388297441755,22.991831315582452,22.991831315582452,NRS18_TX_10453,2014040,30.92007,-98.54463,2019-07-10,0.6687702617334138,0.652547769924901,-0.06133475568451177,-1.087547303152986,2.426707674779804,0.0,0.6904263338781192,0.4828778301803412,-1.333372550702837,-0.8239119424966591,0.812973781357558,False,False,True,False,False,False,False,"Site ID NRS18_TX_10453, Actual: 76%, Prediction: 53%"
644,94.09090909,60.907109000295435,33.18380008970456,33.18380008970456,NRS18_UT_10009,2013317,39.785732,-110.178635,2018-08-21,-0.1849377829727769,-1.156054931587802,1.264542490520318,-1.615791323601488,3.606654686186656,0.3133700740328369,1.957111722221741,0.6485874437506411,-0.8052543468915493,-0.8878716770698907,-1.425522421720174,False,False,False,True,False,False,False,"Site ID NRS18_UT_10009, Actual: 94%, Prediction: 60%"
165,88.72727273,79.5171125733223,9.210160156677702,9.210160156677702,NRS18_WI_10263,2013216,44.87824,-88.67156,2018-08-09,-1.019401304742814,1.470156951391644,-0.6917825744635876,1.028211912423733,0.6121217861069339,1.879550618504614,3.119065188793525,0.8138176872176431,-1.005720505816244,-0.03652507678633146,1.25876134782255,False,False,True,False,False,False,False,"Site ID NRS18_WI_10263, Actual: 88%, Prediction: 79%"
499,51.18181818,41.008020132460175,10.173798047539826,10.173798047539826,NRS18_CO_10055,2013230,38.604553,-106.46493,2018-08-12,0.6080049616641406,-0.003912541108013962,2.350851863807397,-0.4174096849199195,3.585705375747406,0.0,1.097281813750139,0.0,-0.1811622800655578,-0.7949563085989125,-1.241665398145398,False,False,False,False,False,False,True,"Site ID NRS18_CO_10055, Actual: 51%, Prediction: 41%"
960,17.63636364,45.68521148654549,-28.048847846545492,28.048847846545492,NRS18_MT_10009,2014323,46.58559,-111.26571,2019-08-06,1.203124360466132,-0.02478190016675607,1.203124360466155,-1.86319409357964,4.607698579765595,0.0,0.0,0.0,-1.409289086000716,-0.7067712610259609,-0.7736700923986336,False,False,False,False,False,False,True,"Site ID NRS18_MT_10009, Actual: 17%, Prediction: 45%"
741,49.45454545,43.23507716719017,6.219468282809828,6.219468282809828,NRS18_OR_10519,2013598,42.72367,-118.83298,2018-09-26,1.848596288501394,-0.6364952222314324,0.9113275990423475,0.30051058833852,2.443490578785029,0.0,0.07505672745283391,0.0,-0.9457180273862994,-0.3891158802821845,-0.1215873827504829,False,False,False,True,False,False,False,"Site ID NRS18_OR_10519, Actual: 49%, Prediction: 43%"
59,24.53703704,38.629937585682,-14.092900545682,14.092900545682,NRS18_OR_10045,2014192,43.1678,-123.69126,2019-07-25,1.019401304742814,-2.026985537230166,0.3251636316684926,0.07309896241307004,4.602445393070327,0.0,0.0,0.0,-1.24567301568734,2.210721180450562,-1.203124360466156,False,False,False,False,False,True,False,"Site ID NRS18_OR_10045, Actual: 24%, Prediction: 38%"
168,52.0,47.06461714651098,4.935382853489017,4.935382853489017,NRS18_VA_10005,2013156,37.10205,-81.04268,2018-08-06,0.1137079593377786,-0.1955617850383229,0.3919309131704387,-0.7389496611875899,1.376241102669393,0.7779026208459183,3.346603805185209,3.184955641960469,0.6311204429190389,0.4145655966731096,-0.8460898878343914,False,False,False,False,False,False,False,"Site ID NRS18_VA_10005, Actual: 52%, Prediction: 47%"
629,94.45454545,74.04206246089751,20.412482989102486,20.412482989102486,NRS18_SD_10041,2013463,44.05946,-101.21611,2018-09-11,-1.078171257871625,-1.477886780184821,0.2896129183815265,1.17145685003983,0.09654786568266026,2.407450083882721,0.3728383940560636,1.262638413998058,-0.3417775112247995,-1.318593969905833,0.4374147155914374,False,False,True,False,False,False,False,"Site ID NRS18_SD_10041, Actual: 94%, Prediction: 74%"
530,83.81818182,55.23182488413822,28.586356935861787,28.586356935861787,NRS18_TX_10025,2012880,31.473297,-100.469444,2018-07-12,0.6206050421381046,0.262515499407453,0.2841770348131585,0.820254989827598,0.4290563097697696,1.542152029956891,0.435853872206608,0.2261052320125189,0.3030602782032211,-5.199337582605575,1.197762820281096,False,False,True,False,False,False,False,"Site ID NRS18_TX_10025, Actual: 83%, Prediction: 55%"
39,57.87037037,59.98232752157956,-2.11195715157956,2.11195715157956,NRS18_NH_10006,2014093,43.839466,-71.89917,2019-07-16,-0.1426374958630589,-0.5118715724059544,-0.01565076341295814,-0.5877326471823215,2.481638591491814,0.275046423016839,3.444644416777952,1.25440535057674,0.07979728447517272,1.645358309297563,-0.3128133442393446,False,False,False,False,False,False,False,"Site ID NRS18_NH_10006, Actual: 57%, Prediction: 59%"
625,88.49056604,74.67508597651303,13.815480063486973,13.815480063486973,NRS18_SD_10031,2012847,43.17959,-99.04117,2018-07-10,-0.292334062630753,-1.270366208057911,0.163751010142192,1.390384763290305,0.4831862221595194,2.794917690918551,2.339760393806928,1.045379743400992,-0.4193925549598572,-1.578442012658069,-0.06133475568450926,False,False,True,False,False,False,False,"Site ID NRS18_SD_10031, Actual: 88%, Prediction: 74%"
705,90.36363636,81.5480739142274,8.8155624457726,8.8155624457726,NRS18_KS_10126,2012560,37.087254,-99.25331,2018-06-11,-0.5923891795357474,1.161158314751895,0.1479095492076161,1.324841505477938,0.0,3.314302280309021,0.273685659906811,0.6052203800646722,-0.7075759041071664,-0.9515778206955218,0.8686920174719791,False,False,True,False,False,False,False,"Site ID NRS18_KS_10126, Actual: 90%, Prediction: 81%"
158,69.09090909,74.13798723024856,-5.0470781402485585,5.0470781402485585,NRS18_CO_10009,2013115,37.604618,-103.60597,2018-08-01,-0.4867566400411501,-0.8202549898275976,0.9393430729171444,0.07702253340746859,2.758672943385528,0.9056079697353285,1.34951956182652,0.3467142489954985,-0.856661345808141,-2.275218594100823,0.262515499407453,False,False,True,False,False,False,False,"Site ID NRS18_CO_10009, Actual: 69%, Prediction: 74%"
947,58.63636364,62.65375851369845,-4.01739487369845,4.01739487369845,NRS18_CT_10006,2013092,41.868423,-72.08972,2018-07-31,0.3251636316684929,0.2315887577517234,-0.966034225702868,-0.1281593195502579,1.835667180468941,0.9008128524667762,3.153371937030167,1.747722365476531,0.7819072365124732,1.28511728934582,0.03130536159821422,False,False,False,False,False,False,False,"Site ID NRS18_CT_10006, Actual: 58%, Prediction: 62%"
447,80.90909091,77.64016724921085,3.268923660789156,3.268923660789156,NRS18_SD_10001,2014477,43.90549,-96.48498,2019-08-21,-0.3032405405761042,-0.3919309131704384,0.05088485520206616,1.615791323601489,0.0,4.377996506262915,0.7003301218402187,1.693227294231772,0.7446542567135673,-0.7253094219165382,1.425522421720172,False,False,True,False,False,False,False,"Site ID NRS18_SD_10001, Actual: 80%, Prediction: 77%"
136,36.03636364,63.87983763864265,-27.84347399864265,27.84347399864265,NRS18_AL_10189,2013982,34.980164,-86.82706,2019-07-08,-0.2195486528426017,0.8498267124071346,-0.7050980506692345,-1.978549010003039,0.0,4.069068870014308,0.0,3.019954858030264,0.07367868866151228,1.343901537067802,0.6111458659704425,False,False,True,False,False,False,False,"Site ID NRS18_AL_10189, Actual: 36%, Prediction: 63%"
377,45.37037037,62.242631451477536,-16.872261081477532,16.872261081477532,NRS18_OR_10818,2014117,42.003384,-117.9536,2019-07-18,0.4750442089117438,-0.8878716770698903,0.8573362048154297,0.6174458513610928,0.8483046948190468,0.0,0.3422455260729429,0.0,-0.9807545741256587,-0.9556878380607253,-0.3891158802821845,False,False,False,True,False,False,False,"Site ID NRS18_OR_10818, Actual: 45%, Prediction: 62%"
428,90.54545455,65.1921358323902,25.353318717609795,25.353318717609795,NRS18_IA_10004,2013496,42.40439,-95.87348,2018-09-13,0.4174096849199196,-1.615791323601488,-0.2008819998257661,1.192435491780295,0.0,3.043968215003647,2.618494542834427,3.265745405536178,0.06628712670541519,-0.4174096849199195,-0.7985390312315873,False,False,True,False,False,False,False,"Site ID NRS18_IA_10004, Actual: 90%, Prediction: 65%"
380,71.32075472,75.39365423326016,-4.072899513260168,4.072899513260168,NRS18_WI_10035,2013107,45.494045,-90.96128,2018-08-01,-0.7017575357309888,1.397274951313137,-0.1929037613520092,1.848596288501407,0.6541573251365037,2.047923250739537,3.329633317907586,2.438839788709419,0.0791516480426574,0.07963890256102045,1.264542490520318,False,False,False,False,True,False,False,"Site ID NRS18_WI_10035, Actual: 71%, Prediction: 75%"
244,41.45454545,55.15683606453948,-13.702290614539486,13.702290614539486,NRS18_WY_10026,2013471,43.55855,-110.249146,2018-09-11,0.1849377829727772,-1.203124360466156,1.526236033326865,1.21395248522471,3.781362734306184,0.0,0.6230129636331405,0.0,-1.262071209476255,0.5923891795357474,-1.078171257871622,False,False,False,False,False,False,True,"Site ID NRS18_WY_10026, Actual: 41%, Prediction: 55%"
481,88.54545455,71.15675578556618,17.388698764433826,17.388698764433826,NRS18_NV_10001,2012769,40.7413,-115.55437,2018-06-28,0.5252985713985788,-0.3708919622322723,1.32171128911454,0.9891686273406353,2.19361805766465,0.0,2.229514192336723,1.685363251936105,-0.4214186962233071,-0.8093493003305345,-0.921250084239509,False,False,False,True,False,False,False,"Site ID NRS18_NV_10001, Actual: 88%, Prediction: 71%"
299,41.81818182,57.75177993304932,-15.933598113049321,15.933598113049321,NRS18_IN_10053,2013384,39.140694,-86.533455,2018-08-29,-0.1400029643023845,0.02608649920448815,-0.8423648407545923,-1.556172774438491,0.1833875945906587,0.0,1.946073530055897,1.585309698229526,2.032557652640555,0.3806891470093433,0.3032405405761042,False,False,True,False,False,False,False,"Site ID NRS18_IN_10053, Actual: 41%, Prediction: 57%"
388,32.72727273,30.94999602249313,1.7772767075068714,1.7772767075068714,NRS18_CO_10064,2013901,38.769333,-106.4589,2019-06-25,1.534649579411263,0.1347367963225889,2.865589884391976,0.04827329262955141,3.898226132594707,0.0,0.8061041002424657,0.0,-1.227900099829833,0.03522006024752095,-1.28810125654524,False,False,False,False,False,False,True,"Site ID NRS18_CO_10064, Actual: 32%, Prediction: 30%"
743,43.45454545,58.841967460362774,-15.387422010362776,15.387422010362776,NRS18_DE_10018,2014515,39.692245,-75.73423,2019-08-26,-0.2302493412172161,0.03261020488065709,-1.432764750576352,-0.4575963646411975,0.7475561431789123,2.327114164378493,2.776771184076795,2.89166181368057,1.7275717971968,0.655778423074884,-0.1058355893097044,True,False,False,False,False,False,False,"Site ID NRS18_DE_10018, Actual: 43%, Prediction: 58%"
139,42.94545455,51.096489681981005,-8.151035131981004,8.151035131981004,NRS18_VT_10017,2013241,44.112804,-73.09311,2018-08-14,0.2115396690712922,0.1663951458493426,0.04305113718734373,-0.4088874376649668,2.331153215349082,0.456883568855988,3.8237233191523,1.796238300944303,0.3586539090058833,0.8573362048154237,-0.4060533056174914,False,False,False,False,False,False,False,"Site ID NRS18_VT_10017, Actual: 42%, Prediction: 51%"
707,75.90909091,74.93679563003977,0.9722952799602353,0.9722952799602353,NRS18_SD_11594,2014583,45.15782,-96.506035,2019-09-04,-0.3806891470093434,0.1215873827504832,-0.04827329262955141,0.9598140628876822,0.0,3.732414590666366,1.124099192117432,2.29913481825617,-0.03868555590742017,-0.8917468869063052,1.166292120293448,False,False,True,False,False,False,False,"Site ID NRS18_SD_11594, Actual: 75%, Prediction: 74%"
298,55.41666667,59.17838449075666,-3.7617178207566653,3.7617178207566653,NRS18_OH_10016,2014380,41.12102,-81.51976,2019-08-13,0.2977828738664053,1.087547303152986,-0.3639157599174379,1.57844201265807,0.6633528352697298,1.93847670161421,3.176366870161473,2.773609697955848,1.804763440961732,0.5892834040853475,0.7913837610068856,False,False,False,False,False,False,False,"Site ID NRS18_OH_10016, Actual: 55%, Prediction: 59%"
76,58.0,84.15257596421418,-26.15257596421418,26.15257596421418,NRS18_ND_10975,2014335,46.354767,-102.16904,2019-08-07,-1.780941816807224,0.06656214730696591,0.3444750267535615,0.4460417093332909,0.3631059828608199,3.997255476912273,0.3661392290823341,1.833746512667023,-0.3219106664995977,-1.156054931587802,0.8573362048154759,False,False,True,False,False,False,False,"Site ID NRS18_ND_10975, Actual: 58%, Prediction: 84%"
261,65.54545455,39.50780743561617,26.03764711438383,26.03764711438383,NRS18_CT_10031,2012692,41.588684,-73.35209,2018-06-18,1.161158314751895,0.3500159293984769,-0.9312641114814956,-0.1611080187991675,0.5450431725191459,0.0,4.214126336140312,1.854654331591905,1.073056810495063,1.174050971699327,-0.2814622487270763,False,False,False,False,False,False,False,"Site ID NRS18_CT_10031, Actual: 65%, Prediction: 39%"
235,45.78571429,25.44664497989555,20.339069310104453,20.339069310104453,NRS18_CO_RF007,2014223,38.67155,-106.16314,2019-07-29,1.878200088083333,-0.1611080187991675,3.078398308418974,0.3919309131704382,3.265445910141488,0.0,0.9009228895293115,0.0,-0.1170171563777997,-0.575376904461234,-1.485705935873339,False,False,False,False,False,False,True,"Site ID NRS18_CO_RF007, Actual: 45%, Prediction: 25%"
588,64.5,54.847271602512194,9.652728397487806,9.652728397487806,NRS18_CA_10001,2014111,36.963707,-119.231415,2019-07-17,-0.4489247349303587,-0.5388209509415903,0.6206050421381046,-1.640330224900669,4.457720632424929,0.0,0.5899221212920209,0.0,-0.7614950514683229,0.4417241030300291,-1.057414228486381,False,False,False,False,False,True,False,"Site ID NRS18_CA_10001, Actual: 64%, Prediction: 54%"
174,92.72727273,86.08278613275529,6.644486597244708,6.644486597244708,NRS18_NE_10042,2013591,40.16509,-97.42809,2018-09-26,-0.7527287942581722,-0.2814622487270763,0.8423648407545928,1.350364589573533,2.182887905222434,2.446523705680219,0.8515329747947414,1.044860290992085,0.66393764813543,-0.7807261456335128,0.6048700440807379,False,False,True,False,False,False,False,"Site ID NRS18_NE_10042, Actual: 92%, Prediction: 86%"
439,58.18181818,78.56834466635321,-20.386526486353212,20.386526486353212,NRS18_KS_10040,2013163,39.922028,-97.28541,2018-08-06,-0.6237704390405753,-1.037103068750459,-0.03522006024752081,1.397274951313137,0.0,3.500523837512816,1.594819273620623,0.8039155970860202,-0.3680794234900004,-0.5646372849619291,0.3114440650567312,False,False,True,False,False,False,False,"Site ID NRS18_KS_10040, Actual: 58%, Prediction: 78%"
533,56.90909091,49.976937087070915,6.932153822929088,6.932153822929088,NRS18_ID_10117,2014287,44.054188,-113.43894,2019-08-01,0.7527287942581702,0.1058355893097045,1.501622655465892,1.197762820281096,3.098705828157355,0.0,0.0,0.0,-1.185100732215574,-0.9232454806519186,-1.454955499045201,False,False,False,False,False,False,True,"Site ID NRS18_ID_10117, Actual: 56%, Prediction: 49%"
63,75.63636364,68.19654221733153,7.439821422668473,7.439821422668473,NRS18_TX_10029,2012688,35.390907,-101.83176,2018-06-19,-0.4060533056174914,0.9722919912235117,0.5163368737334918,0.1716869283901188,0.0,1.845009364944398,0.5261398713360108,0.3639086812544022,1.87981020267617,-0.802132033281529,0.9598140628876822,False,False,True,False,False,False,False,"Site ID NRS18_TX_10029, Actual: 75%, Prediction: 68%"
793,94.04761905,84.70149418464295,9.34612486535704,9.34612486535704,NRS18_WI_10022,2013595,45.44761,-91.87864,2018-09-27,-1.596838242241462,1.925952527164396,-0.2195486528426017,1.596838242241463,0.9303445033471236,2.886429560230682,3.240236343133868,2.522943428046931,0.6009323818385575,-0.06394823306720056,0.7219204421708302,False,False,False,False,True,False,False,"Site ID NRS18_WI_10022, Actual: 94%, Prediction: 84%"
803,72.90909091,73.8510714218491,-0.9419805118490956,0.9419805118490956,NRS18_KS_10120,2014161,39.921642,-96.71632,2019-07-22,-1.425522421720174,-1.028211912423732,-0.1796336741993851,0.8386514457961245,0.2327464315836934,4.001259056361022,1.765388646850093,0.9967711349849667,0.02384026860411162,-0.4202571535462898,0.4402867328481909,False,False,True,False,False,False,False,"Site ID NRS18_KS_10120, Actual: 72%, Prediction: 73%"
576,79.81818182,80.06249337606036,-0.24431155606035304,0.24431155606035304,NRS18_SD_10012,2013529,43.422443,-103.991806,2018-09-18,-0.528295167898085,-1.176653018252129,0.6590159352147305,0.5163368737334918,1.036789181432181,0.3763727841412802,0.2251242638687247,0.6315118255892743,-1.06463308113723,-1.978549010003039,0.2923340626307468,False,False,True,False,False,False,False,"Site ID NRS18_SD_10012, Actual: 79%, Prediction: 80%"
796,83.09090909,64.79073112660083,18.300177963399165,18.300177963399165,NRS18_NE_RF001,2014451,42.69819,-103.567986,2019-08-20,0.2760388719040397,0.9352959613850936,0.6396925057388748,2.080704323037351,1.922382610578998,0.0,0.4072162421648699,0.1669945974563117,-1.176739254965027,-2.016914137042948,-0.8423648407545923,False,False,True,False,False,False,False,"Site ID NRS18_NE_RF001, Actual: 83%, Prediction: 64%"
652,26.53846154,34.69810017048543,-8.159638630485432,8.159638630485432,NRS18_WA_10043,2012631,46.799316,-121.09112,2018-06-18,1.324841505477938,-1.997364143845967,0.7185397336057819,-0.00130417741165965,4.265915156323045,0.0,0.2869357664810241,0.0,-1.076743389534143,1.997364143845965,-1.517929159594279,False,False,False,False,False,True,False,"Site ID NRS18_WA_10043, Actual: 26%, Prediction: 34%"
851,86.72727273,80.89391551313298,5.8333572168670145,5.8333572168670145,NRS18_NC_10645,2013833,35.983414,-77.860954,2019-06-18,-0.7561959214195958,0.558529552311734,-1.893641337643102,0.7355267900024185,2.387504998865661,2.831040110549449,2.218181325077969,2.171542095830246,1.135741076735916,0.1796336741993694,0.5769165385923476,True,False,False,False,False,False,False,"Site ID NRS18_NC_10645, Actual: 86%, Prediction: 80%"
436,86.63636364,69.60919183603092,17.027171803969082,17.027171803969082,NRS18_OH_10026,2013287,41.29657,-80.60144,2018-08-14,-1.337494138268569,2.311383989058949,-0.48969514795147,-0.6525477699249008,0.6378465488859415,2.923001665626188,3.298672975466641,2.750019574957081,0.4155955627540301,0.5163368737334918,1.17145685003983,False,False,False,False,False,False,False,"Site ID NRS18_OH_10026, Actual: 86%, Prediction: 69%"
668,70.18181818,69.73008585937512,0.45173232062487045,0.45173232062487045,NRS18_CA_10059,2013932,38.069065,-122.53445,2019-06-26,-0.6590159352147296,0.1849377829727772,-1.270366208057911,1.156054931587803,3.37374276969374,0.1862454654091693,1.276549491988219,0.2346545762627829,1.904760384477718,0.09796977300007483,-1.306250978883223,False,False,False,False,False,True,False,"Site ID NRS18_CA_10059, Actual: 70%, Prediction: 69%"
449,61.45454545,60.30682490723847,1.147720542761526,1.147720542761526,NRS18_OK_11427,2013705,35.463047,-97.45969,2019-06-05,-0.1929037613520089,1.509725728062544,-0.2436625298441501,0.2329285898940581,0.0,0.2701192614423297,1.792457866006707,1.33529696956878,2.034338732339035,-0.3667040969036652,0.8386514457961254,False,False,True,False,False,False,False,"Site ID NRS18_OK_11427, Actual: 61%, Prediction: 60%"
88,75.90909091,64.90990542966595,10.999185480334049,10.999185480334049,NRS18_IN_10001,2013097,39.187275,-85.3494,2018-08-01,-0.2760388719040827,0.98280708671119,-0.578457541505405,-1.556172774438491,0.0,4.229789639437187,2.563978861101857,0.7905355712459182,0.7877737604972063,0.4018082065050728,1.466324758791894,False,False,True,False,False,False,False,"Site ID NRS18_IN_10001, Actual: 75%, Prediction: 64%"
